Mi 14T Pro (5G) Leica 12/512GB,$ 985.000,$ 443.250
Mi 14T Pro (5G) Leica 12/1TB,$ 1.072.500,$ 482.625
Mi 14 Ultra (5G) Leica 16/512GB,$ 1.460.000,$ 657.000
Mix Flip (5G) Leica 12/512GB,$ 1.328.750,$ 597.938
,,
INFINIX,EFECTIVO,3 CUOTAS DE
INFINIX NOTE 40 PRO 5G NFC 8/256 GB,$ 492.500,$ 221.625
INFINIX HOT 50 PRO NFC 8/256 GB,$ 342.500,$ 154.125
INFINIX HOT 50 PRO + 8/256 GB,$ 373.750,$ 168.188
INFINIX ZERO 40 8/512 GB,$ 461.250,$ 207.563
,,
,,
GARANTÍAS ,,
Garantía  APPLE ,1 Año,
Garantía SAMSUNG,6 Meses,
Garantía XIAOMI,1 Mes,
Garantía MOTOROLA,3 Meses,
Garantía INFINIX,3 Meses,
